,Q-sv(20%),Q-sv(10%),Q-sv(2%),Q-sv(1%),Q-ov,L-sv(20%),L-sv(10%),L-sv(2%),L-sv(1%),L-ov,S-sv(20%),S-sv(10%),S-sv(2%),S-sv(1%),S-ov,T-sv(20%),T-sv(10%),T-sv(2%),T-sv(1%),T-ov
0,8,13,20,22,22,3.8561456958180877,4.767176410693843,5.220488776368996,5.640089673457221,5.680377251609638,0.9920127458604705,1.2993266859467456,1.4011834175615105,1.4655424715532117,1.4947434279560663,0.05323171615600586,0.06354379653930664,0.0952000617980957,0.10129070281982422,0.0981130599975586
1,10,13,20,20,26,4.613513752485914,4.590519234632798,4.930793987284178,4.585454532902694,5.655639726015612,1.1884742258533918,1.3391940837241645,1.2579029040384397,1.223521820163297,1.4468767133058535,0.0505216121673584,0.07608914375305176,0.11177802085876465,0.11553835868835449,0.13276362419128418
2,8,15,27,29,36,4.0117193584238375,5.293230750698418,6.566923919938558,6.212354430055505,7.133864229062161,1.0501248490697979,1.3997448966574653,1.5161173932786876,1.6127868860158172,1.5747651246526,0.05042004585266113,0.08057451248168945,0.12254190444946289,0.11846137046813965,0.13558435440063477
3,9,16,28,28,28,3.8094770127423976,4.806632615272112,4.554699228168209,4.567098083137699,4.787304221944929,1.0334889218810774,1.244965074404644,1.28075720267574,1.2853433487675348,1.30885366853508,0.1513960361480713,0.10000824928283691,0.1439380645751953,0.1464097499847412,0.1463308334350586
4,7,13,23,24,30,3.963968204694488,5.223605434097126,5.786879615837944,5.586802369882689,5.37872311129193,1.0309065928613104,1.425523509517444,1.348973014831618,1.4301030624945401,1.5696829915281723,0.04846501350402832,0.0737762451171875,0.10289359092712402,0.12355828285217285,0.11278676986694336
5,7,9,17,18,20,3.8965673518440593,3.867390610667017,4.73799313857406,4.858252411664315,5.726028392463931,1.0455703545324533,1.0510730126755827,1.293631389386669,1.3049689002150504,1.5033056349554323,0.045844316482543945,0.06001091003417969,0.20186090469360352,0.12236618995666504,0.10970330238342285
6,9,11,16,16,17,3.616658172957558,4.016055032423397,4.8594852446888295,4.8594852446888295,5.019170758591625,0.9066834516075623,1.0298638743493078,1.244040565825444,1.244040565825444,1.2862763038440759,0.04816722869873047,0.06744933128356934,0.09374737739562988,0.09796023368835449,0.10773324966430664
7,10,14,25,26,27,4.174085391650099,4.613709752482774,6.15037988678668,5.869432063685041,5.826348561910701,1.1425944905377199,1.323290559385442,1.6088493300983866,1.5796882804074985,1.5775551176695752,0.052379608154296875,0.0781104564666748,0.1177666187286377,0.23058605194091797,0.1419973373413086
8,8,10,20,24,25,3.950250014200916,4.074335406685351,5.559271397758571,6.425167000730179,6.500001578991198,1.0812583531805697,1.167036161759788,1.2045703422655465,1.178261265237429,1.3227279979456297,0.053430795669555664,0.07648229598999023,0.10524725914001465,0.10788416862487793,0.12514472007751465
9,10,15,18,19,19,3.817270142343895,4.159687745353423,4.188314138084333,4.590797170667116,4.590797170667117,0.991039595297806,1.1244932432355657,1.1124860548232465,1.135449429608743,1.135449429608743,0.048685312271118164,0.08436226844787598,0.10126161575317383,0.10756039619445801,0.12408566474914551
10,9,11,17,18,19,3.865541050487983,3.90181789011687,4.689251580196143,5.001851998642695,5.297670622513892,1.0713857086658312,1.0882435479219779,1.2797158252794418,1.2725364077600887,1.323416303115804,0.04783344268798828,0.07265973091125488,0.12806344032287598,0.11599540710449219,0.13333749771118164
